cls,qtd_features,scoring,score,features
LinearRegression(),10,neg_mean_squared_error,-63.18815390018433,"Index(['NDVI_d28', 'SAVI_d28', 'NDVI_d01', 'SAVI_d01', 'NDVI_d04', 'SAVI_d04',
       'NDVI_d08', 'SAVI_d08', 'GNDVI_d08', 'SR_d08'],
      dtype='object')"
LinearRegression(),10,explained_variance,0.8710054860884405,"Index(['NDVI_d28', 'SAVI_d28', 'NDVI_d01', 'SAVI_d01', 'NDVI_d04', 'SAVI_d04',
       'NDVI_d08', 'SAVI_d08', 'GNDVI_d08', 'SR_d08'],
      dtype='object')"
LinearRegression(),10,d2_absolute_error_score,0.6244596842948111,"Index(['NDVI_d28', 'SAVI_d28', 'NDVI_d01', 'SAVI_d01', 'NDVI_d04', 'SAVI_d04',
       'NDVI_d08', 'SAVI_d08', 'GNDVI_d08', 'SR_d08'],
      dtype='object')"
LinearRegression(),11,rand_score,0.9941414141414141,"Index(['NDVI_d28', 'SAVI_d28', 'MCARI1_d28', 'NDVI_d01', 'SAVI_d01',
       'NDVI_d04', 'SAVI_d04', 'NDVI_d08', 'SAVI_d08', 'GNDVI_d08', 'SR_d08'],
      dtype='object')"
LinearRegression(),11,r2,0.8592050402775901,"Index(['NDVI_d28', 'SAVI_d28', 'MCARI1_d28', 'NDVI_d01', 'SAVI_d01',
       'NDVI_d04', 'SAVI_d04', 'NDVI_d08', 'SAVI_d08', 'GNDVI_d08', 'SR_d08'],
      dtype='object')"
LinearRegression(),11,max_error,-16.33710604079223,"Index(['NDVI_d28', 'SAVI_d28', 'MCARI1_d28', 'NDVI_d01', 'SAVI_d01',
       'NDVI_d04', 'SAVI_d04', 'NDVI_d08', 'SAVI_d08', 'GNDVI_d08', 'SR_d08'],
      dtype='object')"
LinearRegression(),11,neg_mean_squared_error,-66.12917738364436,"Index(['NDVI_d28', 'SAVI_d28', 'MCARI1_d28', 'NDVI_d01', 'SAVI_d01',
       'NDVI_d04', 'SAVI_d04', 'NDVI_d08', 'SAVI_d08', 'GNDVI_d08', 'SR_d08'],
      dtype='object')"
LinearRegression(),11,explained_variance,0.8653115520015504,"Index(['NDVI_d28', 'SAVI_d28', 'MCARI1_d28', 'NDVI_d01', 'SAVI_d01',
       'NDVI_d04', 'SAVI_d04', 'NDVI_d08', 'SAVI_d08', 'GNDVI_d08', 'SR_d08'],
      dtype='object')"
LinearRegression(),11,d2_absolute_error_score,0.6152928733891322,"Index(['NDVI_d28', 'SAVI_d28', 'MCARI1_d28', 'NDVI_d01', 'SAVI_d01',
       'NDVI_d04', 'SAVI_d04', 'NDVI_d08', 'SAVI_d08', 'GNDVI_d08', 'SR_d08'],
      dtype='object')"
LinearRegression(),12,rand_score,0.9941414141414141,"Index(['NDVI_d28', 'SAVI_d28', 'MCARI1_d28', 'NDVI_d01', 'SAVI_d01',
       'NDVI_d04', 'SAVI_d04', 'GNDVI_d04', 'NDVI_d08', 'SAVI_d08',
       'GNDVI_d08', 'SR_d08'],
      dtype='object')"
LinearRegression(),12,r2,0.862624507027008,"Index(['NDVI_d28', 'SAVI_d28', 'MCARI1_d28', 'NDVI_d01', 'SAVI_d01',
       'NDVI_d04', 'SAVI_d04', 'GNDVI_d04', 'NDVI_d08', 'SAVI_d08',
       'GNDVI_d08', 'SR_d08'],
      dtype='object')"
LinearRegression(),12,max_error,-15.879521170270085,"Index(['NDVI_d28', 'SAVI_d28', 'MCARI1_d28', 'NDVI_d01', 'SAVI_d01',
       'NDVI_d04', 'SAVI_d04', 'GNDVI_d04', 'NDVI_d08', 'SAVI_d08',
       'GNDVI_d08', 'SR_d08'],
      dtype='object')"
LinearRegression(),12,neg_mean_squared_error,-64.3410348494971,"Index(['NDVI_d28', 'SAVI_d28', 'MCARI1_d28', 'NDVI_d01', 'SAVI_d01',
       'NDVI_d04', 'SAVI_d04', 'GNDVI_d04', 'NDVI_d08', 'SAVI_d08',
       'GNDVI_d08', 'SR_d08'],
      dtype='object')"
LinearRegression(),12,explained_variance,0.8699948676137792,"Index(['NDVI_d28', 'SAVI_d28', 'MCARI1_d28', 'NDVI_d01', 'SAVI_d01',
       'NDVI_d04', 'SAVI_d04', 'GNDVI_d04', 'NDVI_d08', 'SAVI_d08',
       'GNDVI_d08', 'SR_d08'],
      dtype='object')"
LinearRegression(),12,d2_absolute_error_score,0.617503154767175,"Index(['NDVI_d28', 'SAVI_d28', 'MCARI1_d28', 'NDVI_d01', 'SAVI_d01',
       'NDVI_d04', 'SAVI_d04', 'GNDVI_d04', 'NDVI_d08', 'SAVI_d08',
       'GNDVI_d08', 'SR_d08'],
      dtype='object')"
LinearRegression(),13,rand_score,0.9941414141414141,"Index(['NDVI_d28', 'SAVI_d28', 'MCARI1_d28', 'NDVI_d01', 'SAVI_d01',
       'NDVI_d04', 'SAVI_d04', 'GNDVI_d04', 'NDVI_d08', 'SAVI_d08',
       'GNDVI_d08', 'MCARI1_d08', 'SR_d08'],
      dtype='object')"
LinearRegression(),13,r2,0.8617649200612677,"Index(['NDVI_d28', 'SAVI_d28', 'MCARI1_d28', 'NDVI_d01', 'SAVI_d01',
       'NDVI_d04', 'SAVI_d04', 'GNDVI_d04', 'NDVI_d08', 'SAVI_d08',
       'GNDVI_d08', 'MCARI1_d08', 'SR_d08'],
      dtype='object')"
LinearRegression(),13,max_error,-15.677791358105292,"Index(['NDVI_d28', 'SAVI_d28', 'MCARI1_d28', 'NDVI_d01', 'SAVI_d01',
       'NDVI_d04', 'SAVI_d04', 'GNDVI_d04', 'NDVI_d08', 'SAVI_d08',
       'GNDVI_d08', 'MCARI1_d08', 'SR_d08'],
      dtype='object')"
LinearRegression(),13,neg_mean_squared_error,-64.6572353528201,"Index(['NDVI_d28', 'SAVI_d28', 'MCARI1_d28', 'NDVI_d01', 'SAVI_d01',
       'NDVI_d04', 'SAVI_d04', 'GNDVI_d04', 'NDVI_d08', 'SAVI_d08',
       'GNDVI_d08', 'MCARI1_d08', 'SR_d08'],
      dtype='object')"
LinearRegression(),13,explained_variance,0.8679162844447635,"Index(['NDVI_d28', 'SAVI_d28', 'MCARI1_d28', 'NDVI_d01', 'SAVI_d01',
       'NDVI_d04', 'SAVI_d04', 'GNDVI_d04', 'NDVI_d08', 'SAVI_d08',
       'GNDVI_d08', 'MCARI1_d08', 'SR_d08'],
      dtype='object')"
